"S.N","Scrip","Current Balance","Last Closing Price","Value as of Last Closing Price","Last Transaction Price (LTP)","Value as of LTP"
"1","ADBL","553.0","310.0","171430.00","309.0","170877.00"
"2","BANDIPUR","50.0","820.0","41000.00","816.3","40815.00"
"3","BJHL","10.0","855.0","8550.00","840.1","8401.00"
"4","CBBL","366.0","915.0","334890.00","911.0","333426.00"
"5","CGH","295.0","785.0","231575.00","790.5","233197.50"
"6","CHCL","510.0","484.9","247299.00","483.7","246687.00"
"7","CIT","251.0","1741.0","436991.00","1746.0","438246.00"
"8","EBL","656.0","702.0","460512.00","700.1","459265.60"
"9","FMDBL","150.0","781.0","117150.00","784.0","117600.00"
"10","FOWAD","148.0","1029.9","152425.20","1025.0","151700.00"
"11","GBBL","592.0","410.9","243252.80","410.0","242720.00"
"12","GBIME","1873.0","240.0","449520.00","240.0","449520.00"
"13","HDL","172.0","1158.0","199176.00","1155.6","198763.20"
"14","HIDCL","838.0","263.5","220813.00","262.5","219975.00"
"15","HLBSL","17.0","876.1","14893.70","865.1","14706.70"
"16","HLI","208.0","339.0","70512.00","338.0","70304.00"
"17","HRL","22.0","638.7","14051.40","637.0","14014.00"
"18","JBLB","103.0","1278.0","131634.00","1271.0","130913.00"
"19","KDL","67.0","830.0","55610.00","818.1","54812.70"
"20","KMCDB","67.0","847.1","56755.70","842.6","56454.20"
"21","MBL","912.0","248.0","226176.00","248.1","226267.20"
"22","MLBSL","98.0","1800.0","176400.00","1780.0","174440.00"
"23","MMF1","5100.0","9.52","48552.00","9.57","48807.00"
"24","MNBBL","442.0","375.0","165750.00","375.0","165750.00"
"25","MSLB","37.0","1249.0","46213.00","1230.0","45510.00"
"26","NABIL","3247.0","533.1","1730975.70","532.5","1729027.50"
"27","NADEP","30.0","750.0","22500.00","741.0","22230.00"
"28","NBF2","12000.0","9.88","118560.00","9.94","119280.00"
"29","NBF3","12870.0","10.0","128700.00","9.95","128056.50"
"30","NBL","1596.0","268.0","427728.00","265.3","423418.80"
"31","NICA","105.0","342.0","35910.00","340.1","35710.50"
"32","NICLBSL","65.0","569.0","36985.00","568.1","36926.50"
"33","NICSF","13100.0","9.45","123795.00","9.43","123533.00"
"34","NIFRA","1222.0","259.6","317231.20","260.5","318331.00"
"35","NIMB","1634.0","196.7","321407.80","195.3","319120.20"
"36","NIMBPO","220.0","145.0","31900.00","145.0","31900.00"
"37","NLICL","208.0","582.6","121180.80","584.0","121472.00"
"38","NMB","1081.0","245.9","265817.90","243.6","263331.60"
"39","NMFBS","104.0","1138.0","118352.00","1138.0","118352.00"
"40","NMLBBL","160.0","586.8","93888.00","580.4","92864.00"
"41","NUBL","121.0","652.7","78976.70","655.0","79255.00"
"42","PCBL","387.0","237.4","91873.80","236.5","91525.50"
"43","PCIL","10.0","755.9","7559.00","745.0","7450.00"
"44","PMLI","81.0","468.0","37908.00","465.1","37673.10"
"45","RHPL","240.0","270.0","64800.00","265.7","63768.00"
"46","RIDI","273.0","345.0","94185.00","347.0","94731.00"
"47","RMF1","21850.0","9.77","213474.50","9.8","214130.00"
"48","RSDC","76.0","660.0","50160.00","662.0","50312.00"
"49","SAIL","50.0","1065.0","53250.00","1060.0","53000.00"
"50","SANIMA","492.0","362.9","178546.80","361.0","177612.00"
"51","SBI","310.0","393.9","122109.00","392.2","121582.00"
"52","SBL","616.0","400.0","246400.00","399.0","245784.00"
"53","SBLD2091","200.0","1076.6","215320.00","1076.6","215320.00"
"54","SCB","565.0","650.0","367250.00","652.0","368380.00"
"55","SHIVM","135.0","665.0","89775.00","660.9","89221.50"
"56","SJCL","270.0","292.2","78894.00","292.2","78894.00"
"57","SJLIC","354.0","433.0","153282.00","430.2","152290.80"
"58","SKHL","10.0","939.0","9390.00","936.0","9360.00"
"59","SMATA","124.0","768.6","95306.40","768.0","95232.00"
"60","SRLI","179.0","397.0","71063.00","393.0","70347.00"
"61","SSIS","5000.0","11.09","55450.00","11.06","55300.00"
"62","SYPNL","40.0","1398.0","55920.00","1411.0","56440.00"
"63","TTL","221.0","810.0","179010.00","810.0","179010.00"
"64","UPPER","1535.0","201.9","309916.50","201.0","308535.00"
"65","VLBS","147.0","716.0","105252.00","712.0","104664.00"
"Total :"," "," "," ","11241134.90"," ","11216542.60"
