Scrip,WACC Calculated Quantity,WACC Rate,Total Cost Of Capital
ADBL,553,231.9538,"128,270.47"
BJHL,10,100,"1,000"
CGH,295,923.7287,"272,499.96"
EBL,656,536.8036,"352,143.18"
GBBL,592,192.2799,"113,829.71"
HDL,172,"1,200.76","206,530.12"
HIDCL,838,207.3789,"173,783.53"
HLBSL,17,878.7481,"14,938.72"
JBLB,103,"1,301.24","134,027.44"
KDL,67,778.0478,"52,129.21"
KMCDB,67,532.5748,"35,682.51"
MMF1,5100,8.4855,"43,276.04"
MNBBL,442,264.4758,"116,898.30"
MSLB,37,"1,013.87","37,513.06"
NBF3,12870,9.3049,"119,754.20"
NICSF,13100,9.3624,"122,646.80"
NLICL,208,423.377,"88,062.41"
NMFBS,104,"1,129.44","117,461.34"
NUBL,121,594.1572,"71,893.02"
PCBL,387,160.6211,"62,160.38"
PCIL,10,100,"1,000"
PLI,81,592.5974,"48,000.39"
RMF1,21850,9.059,"197,939.90"
SBI,310,528.9187,"163,964.81"
SBL,616,283.3244,"174,527.85"
SBLD2091,200,"1,000","200,000"
SCB,565,830.9628,"469,493.98"
SHIVM,135,338.7989,"45,737.85"
SJCL,270,363.9717,"98,272.37"
SJLIC,354,415.8091,"147,196.42"
SKHL,10,100,"1,000"
SMATA,124,"1,137.96","141,106.50"
SRLI,179,515.1406,"92,210.17"
SRLI,179,515.1406,"92,210.17"
SSIS,5000,10,"50,000"
SYPNL,70,792.7461,"55,492.23"
TTL,270,835.9415,"225,704.21"
UPPER,1535,188.621,"289,533.20"
VLBS,147,468.2922,"68,838.95"
